run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	library_name	library_layout	library_selection	fastq_md5	fastq_ftp	submitted_ftp	sample_alias	sample_title
SRR1164440	SAMN02315536	SRX467016	PRJNA63467	7227	Drosophila melanogaster		SINGLE	ChIP	1dc4ac0045f4f55d140a39efb150a3ae	ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/000/SRR1164440/SRR1164440.fastq.gz		GSM1206851	Eip74EF-GFP_8-16h_embryonic_ChIP-seq_Input_Rep2
SRR1164443	SAMN02315542	SRX467019	PRJNA63467	7227	Drosophila melanogaster		SINGLE	ChIP	494600f9eb97bbba1513d613c29c17fe	ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/003/SRR1164443/SRR1164443.fastq.gz		GSM1206854	gro_WPP_ChIP-seq_Input_Rep1
SRR1164449	SAMN02315549	SRX467025	PRJNA63467	7227	Drosophila melanogaster		SINGLE	ChIP	4e817d0351211a5ea6310c449ff066a4	ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/009/SRR1164449/SRR1164449.fastq.gz		GSM1206860	H_0-8h_embryonic_ChIP-seq_ChIP_Rep1
SRR1164451	SAMN02315547	SRX467027	PRJNA63467	7227	Drosophila melanogaster		SINGLE	ChIP	c542591092dfc08560f506ae6d7c5deb	ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/001/SRR1164451/SRR1164451.fastq.gz		GSM1206862	lola-PJ-GFP_0-12h_embryo_ChIP-seq_Input_Rep1
SRR1164452	SAMN02315550	SRX467028	PRJNA63467	7227	Drosophila melanogaster		SINGLE	ChIP	d9cb2d1044e7dab027aeba8c11ef2034	ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/002/SRR1164452/SRR1164452.fastq.gz		GSM1206863	lola-PJ-GFP_0-12h_embryo_ChIP-seq_Input_Rep2
SRR1164457	SAMN02315556	SRX467033	PRJNA63467	7227	Drosophila melanogaster		SINGLE	ChIP	695e21e459870607a893ed1a94d38054	ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/007/SRR1164457/SRR1164457.fastq.gz		GSM1206868	lola-PJ-GFP_12-24h_embryo_ChIP-seq_ChIP_Rep1
SRR1164471	SAMN02315576	SRX467047	PRJNA63467	7227	Drosophila melanogaster		SINGLE	ChIP	1daae5ec24982ffe1cc536d475009141	ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/001/SRR1164471/SRR1164471.fastq.gz		GSM1206882	Su(H)_0-8_embryonic_ChIP-seq_ChIP_Rep2
SRR1164472	SAMN02315578	SRX467048	PRJNA63467	7227	Drosophila melanogaster		SINGLE	ChIP	2af6336f3fb1c21e77800caa9b296c63	ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/002/SRR1164472/SRR1164472.fastq.gz		GSM1206883	Su(H)_0-8_embryonic_ChIP-seq_ChIP_Rep3
SRR1164473	SAMN02315573	SRX467049	PRJNA63467	7227	Drosophila melanogaster		SINGLE	ChIP	e0ea0b76d5ce220ba83e0cb7563be914	ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/003/SRR1164473/SRR1164473.fastq.gz		GSM1206884	dTBP_0-8h_embryonic_ChIP-seq_Input_Rep1
SRR1164474	SAMN02315577	SRX467050	PRJNA63467	7227	Drosophila melanogaster		SINGLE	ChIP	64c37ecb1408259fc11085b877534e51	ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/004/SRR1164474/SRR1164474.fastq.gz		GSM1206885	dTBP_0-8h_embryonic_ChIP-seq_Input_Rep2
