sample,fastq_1,fastq_2,antibody,control
TCF_nonISO1_0.8_embryonic_ChIP.seq_ChIP_Rep2_REP1,results/basic_chip/fastq/TCF_nonISO1_0.8_embryonic_ChIP.seq_ChIP_Rep2.fastq.gz,,TCF_nonISO1_0.8_embryonic,TCF_nonISO1_0.8_embryonic_ChIP.seq_Input_Rep2_REP1
TCF_nonISO1_0.8_embryonic_ChIP.seq_ChIP_Rep1_REP1,results/basic_chip/fastq/TCF_nonISO1_0.8_embryonic_ChIP.seq_ChIP_Rep1.fastq.gz,,TCF_nonISO1_0.8_embryonic,TCF_nonISO1_0.8_embryonic_ChIP.seq_Input_Rep1_REP1
TCF_16.24.seq_ChIP_Rep1_REP1,results/basic_chip/fastq/TCF_16.24.seq_ChIP_Rep1.fastq.gz,,TCF_16.24,TCF_16.24.seq_Input_Rep1_REP1
TCF_16.24.seq_ChIP_Rep2_REP1,results/basic_chip/fastq/TCF_16.24.seq_ChIP_Rep2.fastq.gz,,TCF_16.24,TCF_16.24.seq_Input_Rep2_REP1
TCF_0.8h_embryo_ChIP.seq_ChIP_Rep1_REP1,results/basic_chip/fastq/TCF_0.8h_embryo_ChIP.seq_ChIP_Rep1.fastq.gz,,TCF_0.8h_embryo,TCF_0.8h_embryo_ChIP.seq_Input_Rep1_REP1
TCF_0.8h_embryo_ChIP.seq_ChIP_Rep2_REP1,results/basic_chip/fastq/TCF_0.8h_embryo_ChIP.seq_ChIP_Rep2.fastq.gz,,TCF_0.8h_embryo,TCF_0.8h_embryo_ChIP.seq_Input_Rep2_REP1
S2_CTCF500_ChIPSeq_1.and.2_REP1,results/basic_chip/fastq/S2_CTCF500_ChIPSeq_1.and.2.fastq.gz,,S2_CTCF500,S2_CTCF200_INPUT_1_REP1
H3K4me3_S2_cells_ChIP.seq_ChIP_Rep1_REP1,results/basic_chip/fastq/H3K4me3_S2_cells_ChIP.seq_ChIP_Rep1.fastq.gz,,H3K4me3_S2_cells,H3K4me3_S2_cells_ChIP.seq_Input_Rep1_REP1
H3K4me3_S2_cells_ChIP.seq_ChIP_Rep2_REP1,results/basic_chip/fastq/H3K4me3_S2_cells_ChIP.seq_ChIP_Rep2.fastq.gz,,H3K4me3_S2_cells,H3K4me3_S2_cells_ChIP.seq_Input_Rep2_REP1
H3K4me3_8.16h_embryonic_ChIP.seq_ChIP_Rep1_REP1,results/basic_chip/fastq/H3K4me3_8.16h_embryonic_ChIP.seq_ChIP_Rep1.fastq.gz,,H3K4me3_8.16h_embryonic,H3K4me3_8.16h_embryonic_ChIP.seq_Input_Rep1_REP1
H3K4me3_8.16h_embryonic_ChIP.seq_ChIP_Rep2_REP1,results/basic_chip/fastq/H3K4me3_8.16h_embryonic_ChIP.seq_ChIP_Rep2.fastq.gz,,H3K4me3_8.16h_embryonic,H3K4me3_8.16h_embryonic_ChIP.seq_Input_Rep2_REP1
H3K4me1_S2_cells_ChIP.seq_ChIP_Rep1_REP1,results/basic_chip/fastq/H3K4me1_S2_cells_ChIP.seq_ChIP_Rep1.fastq.gz,,H3K4me1_S2_cells,H3K4me1_S2_cells_ChIP.seq_Input_Rep1_REP1
H3K4me1_S2_cells_ChIP.seq_ChIP_Rep2_REP1,results/basic_chip/fastq/H3K4me1_S2_cells_ChIP.seq_ChIP_Rep2.fastq.gz,,H3K4me1_S2_cells,H3K4me1_S2_cells_ChIP.seq_Input_Rep2_REP1
E8.12_H3K9Me3_ChIPSeq_1_REP1,results/basic_chip/fastq/E8.12_H3K9Me3_ChIPSeq_1.fastq.gz,,E8.12_H3K9Me3,E8.12_INPUT_REP1
E8.12_H3K9Ac_ChIPSeq_1_REP1,results/basic_chip/fastq/E8.12_H3K9Ac_ChIPSeq_1.fastq.gz,,E8.12_H3K9Ac,E8.12_INPUT_REP1
E8.12_H3K4Me3_ChIPSeq_1_REP1,results/basic_chip/fastq/E8.12_H3K4Me3_ChIPSeq_1.fastq.gz,,E8.12_H3K4Me3,E8.12_INPUT_REP1
E8.12_H3K4Me1_ChIPSeq_1_REP1,results/basic_chip/fastq/E8.12_H3K4Me1_ChIPSeq_1.fastq.gz,,E8.12_H3K4Me1,E8.12_INPUT_REP1
E8.12_H3K27Me3_ChIPSeq_1_REP1,results/basic_chip/fastq/E8.12_H3K27Me3_ChIPSeq_1.fastq.gz,,E8.12_H3K27Me3,E8.12_INPUT_REP1
