sample_name,life_stage_age,simple_biosample_summary,target,input
Atf-2_ENCSR963YPQ_rep2,embryonic 0-24 hours,mixed sex embryo (0-24 hours) strain Atf-2-GFP VK00033 genetically modified (insertion) using site-specific recombination targeting D. melanogaster Atf-2,Atf-2,input_ENCSR950VOB_rep1
Atf-2_ENCSR963YPQ_rep3,embryonic 0-24 hours,mixed sex embryo (0-24 hours) strain Atf-2-GFP VK00033 genetically modified (insertion) using site-specific recombination targeting D. melanogaster Atf-2,Atf-2,input_ENCSR950VOB_rep1
CG10147_ENCSR599WVE_rep2,embryonic 0-24 hours,mixed sex embryo (0-24 hours) strain CG10147-GFP VK00037 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG10147,CG10147,input_ENCSR280HPE_rep1
CG10147_ENCSR599WVE_rep3,embryonic 0-24 hours,mixed sex embryo (0-24 hours) strain CG10147-GFP VK00037 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG10147,CG10147,input_ENCSR280HPE_rep1
CG10462_ENCSR864LDV_rep2,embryonic 0-24 hours,mixed sex embryo (0-24 hours) strain CG10462-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG10462,CG10462,input_ENCSR778ELF_rep1
CG10462_ENCSR864LDV_rep3,embryonic 0-24 hours,mixed sex embryo (0-24 hours) strain CG10462-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG10462,CG10462,input_ENCSR778ELF_rep1
CG10631_ENCSR751FSX_rep2,NA,prepupa strain CG10631-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG10631  at white prepupa stage,CG10631,input_ENCSR520BTD_rep1
CG10631_ENCSR751FSX_rep3,NA,prepupa strain CG10631-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG10631  at white prepupa stage,CG10631,input_ENCSR520BTD_rep1
CG10979_ENCSR155UQM_rep2,embryonic 0-14 hours,mixed sex embryo (0-14 hours) attP40 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG10979,CG10979,input_ENCSR808XII_rep1
CG10979_ENCSR155UQM_rep3,embryonic 0-14 hours,mixed sex embryo (0-14 hours) attP40 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG10979,CG10979,input_ENCSR808XII_rep1
CG11617_ENCSR287NIU_rep2,NA,mixed sex adult strain CG11617-GFP VK00033 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG11617,CG11617,input_ENCSR072FJD_rep1
CG11617_ENCSR287NIU_rep3,NA,mixed sex adult strain CG11617-GFP VK00033 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG11617,CG11617,input_ENCSR072FJD_rep1
CG12744_ENCSR950LBC_rep2,embryonic 0-24 hours,mixed sex embryo (0-24 hours) strain CG12744-GFP VK00033 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG12744,CG12744,input_ENCSR075LYH_rep1
CG12744_ENCSR950LBC_rep4,embryonic 0-24 hours,mixed sex embryo (0-24 hours) strain CG12744-GFP VK00033 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG12744,CG12744,input_ENCSR075LYH_rep1
CG12769_ENCSR964YKJ_rep5,embryonic 10-24 hours,mixed sex embryo (10-24 hours) strain CG12769 VK00033 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG12769,CG12769,input_ENCSR941FHT_rep1
CG12769_ENCSR964YKJ_rep7,embryonic 10-24 hours,mixed sex embryo (10-24 hours) strain CG12769 VK00033 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG12769,CG12769,input_ENCSR941FHT_rep1
CG13123_ENCSR982RGH_rep2,embryonic 0-24 hours,mixed sex embryo (0-24 hours) strain CG13123-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG13123,CG13123,input_ENCSR685DWE_rep1
CG13123_ENCSR982RGH_rep3,embryonic 0-24 hours,mixed sex embryo (0-24 hours) strain CG13123-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG13123,CG13123,input_ENCSR685DWE_rep1
CG13204_ENCSR476TPB_rep2,pupa 24 hours,mixed sex pupa (24 hours) strain CG13204-GFP VK00033 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG13204,CG13204,input_ENCSR842BMI_rep1
CG13204_ENCSR476TPB_rep3,pupa 24 hours,mixed sex pupa (24 hours) strain CG13204-GFP VK00033 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG13204,CG13204,input_ENCSR842BMI_rep1
CG14711_ENCSR187IVR_rep3,NA,female adult attP40 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG14711,CG14711,input_ENCSR730QLJ_rep1
CG14711_ENCSR187IVR_rep4,NA,female adult attP40 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG14711,CG14711,input_ENCSR730QLJ_rep1
CG14965_ENCSR354KRW_rep3,embryonic 0-24 hours,mixed sex embryo (0-24 hours) strain CG14965-GFP VK00037 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG14965,CG14965,input_ENCSR311GKZ_rep1
CG14965_ENCSR354KRW_rep4,embryonic 0-24 hours,mixed sex embryo (0-24 hours) strain CG14965-GFP VK00037 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG14965,CG14965,input_ENCSR311GKZ_rep1
