sample_name,life_stage_age,simple_biosample_summary,target,input
pan_ENCSR033IIP_rep1,embryonic 0-8 hours,embryo (0-8 hours) strain yellow cinnabar brown speck,pan,input_ENCSR790CIN_rep1
pan_ENCSR033IIP_rep2,embryonic 0-8 hours,embryo (0-8 hours) strain yellow cinnabar brown speck,pan,input_ENCSR790CIN_rep1
pan_ENCSR042VRW_rep1,embryonic 0-24 hours,embryo (0-24 hours) strain pan-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster pan,pan,input_ENCSR963EIX_rep1
pan_ENCSR042VRW_rep2,embryonic 0-24 hours,embryo (0-24 hours) strain pan-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster pan,pan,input_ENCSR963EIX_rep1
pan_ENCSR058DSI_rep1,embryonic 0-8 hours,embryo (0-8 hours) strain Hr3-GFP VK00033 genetically modified (insertion) using site-specific recombination targeting D. melanogaster Hr3,pan,input_ENCSR344TQJ_rep1
pan_ENCSR058DSI_rep2,embryonic 0-8 hours,embryo (0-8 hours) strain Hr3-GFP VK00033 genetically modified (insertion) using site-specific recombination targeting D. melanogaster Hr3,pan,input_ENCSR344TQJ_rep1
pan_ENCSR074LKQ_rep1,embryonic 16-24 hours,embryo (16-24 hours) strain yellow cinnabar brown speck,pan,input_ENCSR370EGA_rep1
pan_ENCSR074LKQ_rep2,embryonic 16-24 hours,embryo (16-24 hours) strain yellow cinnabar brown speck,pan,input_ENCSR370EGA_rep1
pan_ENCSR455AWG_rep1,NA,strain yellow cinnabar brown speck  at white prepupa stage,pan,input_ENCSR872ZLJ_rep1
pan_ENCSR455AWG_rep2,NA,strain yellow cinnabar brown speck  at white prepupa stage,pan,input_ENCSR872ZLJ_rep1
pan_ENCSR455AWG_rep3,NA,strain yellow cinnabar brown speck  at white prepupa stage,pan,input_ENCSR872ZLJ_rep1
pan_ENCSR636FRF_rep1,NA,wandering third instar larva strain yellow cinnabar brown speck,pan,input_ENCSR711IHB_rep1
pan_ENCSR636FRF_rep2,NA,wandering third instar larva strain yellow cinnabar brown speck,pan,input_ENCSR711IHB_rep1
pan_ENCSR636FRF_rep3,NA,wandering third instar larva strain yellow cinnabar brown speck,pan,input_ENCSR711IHB_rep1
gro_ENCSR981DLO_rep1,embryonic 0-24 hours,mixed sex embryo (0-24 hours) strain gro-GFP attP16 genetically modified (insertion) using site-specific recombination targeting D. melanogaster gro,gro,input_ENCSR371KOI_rep1
gro_ENCSR981DLO_rep3,embryonic 0-24 hours,mixed sex embryo (0-24 hours) strain gro-GFP attP16 genetically modified (insertion) using site-specific recombination targeting D. melanogaster gro,gro,input_ENCSR371KOI_rep1
input_ENCSR344TQJ_rep1,embryonic 0-8 hours,embryo (0-8 hours) strain Hr3-GFP VK00033 genetically modified (insertion) using site-specific recombination targeting D. melanogaster Hr3,NA,NA
input_ENCSR370EGA_rep1,embryonic 16-24 hours,embryo (16-24 hours) strain yellow cinnabar brown speck,NA,NA
input_ENCSR371KOI_rep1,embryonic 0-24 hours,mixed sex embryo (0-24 hours) strain gro-GFP attP16 genetically modified (insertion) using site-specific recombination targeting D. melanogaster gro,NA,NA
input_ENCSR711IHB_rep1,NA,wandering third instar larva strain yellow cinnabar brown speck,NA,NA
input_ENCSR790CIN_rep1,embryonic 0-8 hours,embryo (0-8 hours) strain yellow cinnabar brown speck,NA,NA
input_ENCSR872ZLJ_rep1,NA,strain yellow cinnabar brown speck  at white prepupa stage,NA,NA
input_ENCSR963EIX_rep1,embryonic 0-24 hours,embryo (0-24 hours) strain pan-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster pan,NA,NA
