Experiment accession,sample_name,subsample_name,accession,LIBRARY_LAYOUT,input,life_stage_age,perturbed,protein_tags,simple_biosample_summary,File accession,Controlled by,Biological replicate(s),Technical replicate(s),target,Control.experiment
ENCSR963YPQ,Atf-2_ENCSR963YPQ_rep2,1,https://encode-public.s3.amazonaws.com/2015/07/24/3e11ec0f-5001-4096-a3d6-b36056f575fd/ENCFF922ADL.fastq.gz,SINGLE,input_ENCSR950VOB_rep1,embryonic 0-24 hours,FALSE,eGFP,mixed sex embryo (0-24 hours) strain Atf-2-GFP VK00033 genetically modified (insertion) using site-specific recombination targeting D. melanogaster Atf-2,ENCFF922ADL,ENCFF753PFI,2,2_1,Atf-2,ENCSR950VOB
ENCSR963YPQ,Atf-2_ENCSR963YPQ_rep3,1,https://encode-public.s3.amazonaws.com/2015/07/24/43c7863e-cca9-4f40-a357-77b08b6935f7/ENCFF020KMR.fastq.gz,SINGLE,input_ENCSR950VOB_rep1,embryonic 0-24 hours,FALSE,eGFP,mixed sex embryo (0-24 hours) strain Atf-2-GFP VK00033 genetically modified (insertion) using site-specific recombination targeting D. melanogaster Atf-2,ENCFF020KMR,ENCFF753PFI,3,3_1,Atf-2,ENCSR950VOB
ENCSR599WVE,CG10147_ENCSR599WVE_rep2,1,https://encode-public.s3.amazonaws.com/2019/04/12/25a2fe6a-3f36-438f-ab41-8f55f31787e3/ENCFF798DAS.fastq.gz,SINGLE,input_ENCSR280HPE_rep1,embryonic 0-24 hours,FALSE,eGFP,mixed sex embryo (0-24 hours) strain CG10147-GFP VK00037 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG10147,ENCFF798DAS,ENCFF282RQL,2,2_1,CG10147,ENCSR280HPE
ENCSR599WVE,CG10147_ENCSR599WVE_rep3,1,https://encode-public.s3.amazonaws.com/2019/04/12/c61acf9b-4f7f-4941-8249-fe7f937c6dc5/ENCFF186ITI.fastq.gz,SINGLE,input_ENCSR280HPE_rep1,embryonic 0-24 hours,FALSE,eGFP,mixed sex embryo (0-24 hours) strain CG10147-GFP VK00037 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG10147,ENCFF186ITI,ENCFF282RQL,3,3_1,CG10147,ENCSR280HPE
ENCSR864LDV,CG10462_ENCSR864LDV_rep2,1,https://encode-public.s3.amazonaws.com/2016/04/09/96872ba0-3be4-43e6-9fc5-f3df2e6c2bb8/ENCFF668GOQ.fastq.gz,SINGLE,input_ENCSR778ELF_rep1,embryonic 0-24 hours,FALSE,eGFP,mixed sex embryo (0-24 hours) strain CG10462-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG10462,ENCFF668GOQ,ENCFF454NSM,2,2_1,CG10462,ENCSR778ELF
ENCSR864LDV,CG10462_ENCSR864LDV_rep3,1,https://encode-public.s3.amazonaws.com/2016/04/09/23f46d69-677a-4269-a6f3-e2ff9beba4df/ENCFF109ALV.fastq.gz,SINGLE,input_ENCSR778ELF_rep1,embryonic 0-24 hours,FALSE,eGFP,mixed sex embryo (0-24 hours) strain CG10462-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG10462,ENCFF109ALV,ENCFF454NSM,3,3_1,CG10462,ENCSR778ELF
ENCSR751FSX,CG10631_ENCSR751FSX_rep2,1,https://encode-public.s3.amazonaws.com/2015/10/21/125c1a83-50a4-4d41-a3f3-50cd0c115fcc/ENCFF277YNA.fastq.gz,SINGLE,input_ENCSR520BTD_rep1,NA,FALSE,eGFP,prepupa strain CG10631-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG10631  at white prepupa stage,ENCFF277YNA,ENCFF747TQH,2,2_1,CG10631,ENCSR520BTD
ENCSR751FSX,CG10631_ENCSR751FSX_rep3,1,https://encode-public.s3.amazonaws.com/2015/10/21/31c75dc9-f02c-440a-a7a0-3e2d0d23dcba/ENCFF627SOE.fastq.gz,SINGLE,input_ENCSR520BTD_rep1,NA,FALSE,eGFP,prepupa strain CG10631-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG10631  at white prepupa stage,ENCFF627SOE,ENCFF747TQH,3,3_1,CG10631,ENCSR520BTD
ENCSR155UQM,CG10979_ENCSR155UQM_rep2,1,https://encode-public.s3.amazonaws.com/2018/12/07/ab913ff0-10db-459d-ab2e-8f441322f833/ENCFF392RNT.fastq.gz,SINGLE,input_ENCSR808XII_rep1,embryonic 0-14 hours,FALSE,eGFP,mixed sex embryo (0-14 hours) attP40 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG10979,ENCFF392RNT,ENCFF707UJW,2,2_1,CG10979,ENCSR808XII
ENCSR155UQM,CG10979_ENCSR155UQM_rep3,1,https://encode-public.s3.amazonaws.com/2018/12/07/eb2176f6-612a-4a92-b78f-59a27b2f5b27/ENCFF280GSO.fastq.gz,SINGLE,input_ENCSR808XII_rep1,embryonic 0-14 hours,FALSE,eGFP,mixed sex embryo (0-14 hours) attP40 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG10979,ENCFF280GSO,ENCFF707UJW,3,3_1,CG10979,ENCSR808XII
ENCSR287NIU,CG11617_ENCSR287NIU_rep2,1,https://encode-public.s3.amazonaws.com/2017/09/11/c6cf4321-09f0-4091-9322-5493a09edcc2/ENCFF595XNL.fastq.gz,SINGLE,input_ENCSR072FJD_rep1,NA,FALSE,eGFP,mixed sex adult strain CG11617-GFP VK00033 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG11617,ENCFF595XNL,ENCFF518QBI,2,2_1,CG11617,ENCSR072FJD
ENCSR287NIU,CG11617_ENCSR287NIU_rep3,1,https://encode-public.s3.amazonaws.com/2017/09/11/bf4ba44b-0a80-438e-a5dc-1a25606d1b1d/ENCFF038SDS.fastq.gz,SINGLE,input_ENCSR072FJD_rep1,NA,FALSE,eGFP,mixed sex adult strain CG11617-GFP VK00033 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG11617,ENCFF038SDS,ENCFF518QBI,3,3_1,CG11617,ENCSR072FJD
ENCSR950LBC,CG12744_ENCSR950LBC_rep2,1,https://encode-public.s3.amazonaws.com/2015/07/24/a55d1c55-2c0a-4c0d-a001-dfcae09f6bf6/ENCFF619EDD.fastq.gz,SINGLE,input_ENCSR075LYH_rep1,embryonic 0-24 hours,FALSE,eGFP,mixed sex embryo (0-24 hours) strain CG12744-GFP VK00033 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG12744,ENCFF619EDD,ENCFF628IUI,2,2_1,CG12744,ENCSR075LYH
ENCSR950LBC,CG12744_ENCSR950LBC_rep4,1,https://encode-public.s3.amazonaws.com/2015/07/24/c7371743-46d4-4267-8f26-d9779d16e094/ENCFF934CQN.fastq.gz,SINGLE,input_ENCSR075LYH_rep1,embryonic 0-24 hours,FALSE,eGFP,mixed sex embryo (0-24 hours) strain CG12744-GFP VK00033 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG12744,ENCFF934CQN,ENCFF628IUI,4,4_1,CG12744,ENCSR075LYH
ENCSR964YKJ,CG12769_ENCSR964YKJ_rep5,1,https://encode-public.s3.amazonaws.com/2019/04/12/59b8c296-62b5-45c3-a93f-9e1598787bde/ENCFF970GLM.fastq.gz,SINGLE,input_ENCSR941FHT_rep1,embryonic 10-24 hours,FALSE,eGFP,mixed sex embryo (10-24 hours) strain CG12769 VK00033 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG12769,ENCFF970GLM,ENCFF667NZV,5,5_1,CG12769,ENCSR941FHT
ENCSR964YKJ,CG12769_ENCSR964YKJ_rep7,1,https://encode-public.s3.amazonaws.com/2019/04/12/66185ec2-b446-40a1-9dda-918110ed5955/ENCFF280WTH.fastq.gz,SINGLE,input_ENCSR941FHT_rep1,embryonic 10-24 hours,FALSE,eGFP,mixed sex embryo (10-24 hours) strain CG12769 VK00033 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG12769,ENCFF280WTH,ENCFF667NZV,7,7_1,CG12769,ENCSR941FHT
ENCSR982RGH,CG13123_ENCSR982RGH_rep2,1,https://encode-public.s3.amazonaws.com/2016/08/03/0f3d89c2-614e-41e7-ad9f-ca25482ac6f1/ENCFF325ALB.fastq.gz,SINGLE,input_ENCSR685DWE_rep1,embryonic 0-24 hours,FALSE,eGFP,mixed sex embryo (0-24 hours) strain CG13123-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG13123,ENCFF325ALB,ENCFF062HQQ,2,2_1,CG13123,ENCSR685DWE
ENCSR982RGH,CG13123_ENCSR982RGH_rep3,1,https://encode-public.s3.amazonaws.com/2016/08/03/b1577e17-6c1d-41f0-8615-ae8026a49ec2/ENCFF551ZZU.fastq.gz,SINGLE,input_ENCSR685DWE_rep1,embryonic 0-24 hours,FALSE,eGFP,mixed sex embryo (0-24 hours) strain CG13123-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG13123,ENCFF551ZZU,ENCFF062HQQ,3,3_1,CG13123,ENCSR685DWE
ENCSR476TPB,CG13204_ENCSR476TPB_rep2,1,https://encode-public.s3.amazonaws.com/2018/02/01/cf607c4d-9eb0-46e3-91ea-c23684193dec/ENCFF415ILY.fastq.gz,SINGLE,input_ENCSR842BMI_rep1,pupa 24 hours,FALSE,eGFP,mixed sex pupa (24 hours) strain CG13204-GFP VK00033 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG13204,ENCFF415ILY,ENCFF845VLI,2,2_1,CG13204,ENCSR842BMI
ENCSR476TPB,CG13204_ENCSR476TPB_rep3,1,https://encode-public.s3.amazonaws.com/2018/02/01/12cc0707-e929-4155-85ee-5585905e5472/ENCFF738THS.fastq.gz,SINGLE,input_ENCSR842BMI_rep1,pupa 24 hours,FALSE,eGFP,mixed sex pupa (24 hours) strain CG13204-GFP VK00033 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG13204,ENCFF738THS,ENCFF845VLI,3,3_1,CG13204,ENCSR842BMI
ENCSR187IVR,CG14711_ENCSR187IVR_rep3,1,https://encode-public.s3.amazonaws.com/2018/12/07/b3ee413e-fdf9-4e74-b900-ef7ec009108c/ENCFF390JKP.fastq.gz,SINGLE,input_ENCSR730QLJ_rep1,NA,FALSE,eGFP,female adult attP40 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG14711,ENCFF390JKP,ENCFF248NZA,3,3_1,CG14711,ENCSR730QLJ
ENCSR187IVR,CG14711_ENCSR187IVR_rep4,1,https://encode-public.s3.amazonaws.com/2018/12/07/4a2c2e13-a9b8-4036-afe1-78279ba21dc9/ENCFF112DAN.fastq.gz,SINGLE,input_ENCSR730QLJ_rep1,NA,FALSE,eGFP,female adult attP40 genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG14711,ENCFF112DAN,ENCFF248NZA,4,4_1,CG14711,ENCSR730QLJ
